index,Gender,Race,Age,Created Date,Mailing Zip/Postal Code,Domestic,Country,State,Program,Status,Index
249,Male,Asian,25,1/30/2023,560003,International,India,Karnataka,Computer Science: Scientific Computing (MS),Started App,250
250,Male,Asian,22,12/13/2022,560092,International,India,Karnataka,Computer Science: Scientific Computing (MS),Complete App,251
251,Male,Asian,22,1/10/2023,560078,International,India,Karnataka,Computer Science: Scientific Computing (MS),Complete App,252
252,Female,Asian,26,11/7/2022,570026,International,India,Karnataka,Computer Science: Scientific Computing (MS),Admit-Coming,253
253,Male,Asian,21,10/19/2022,560102,International,India,Karnataka,Data Science (MS),Started App,254
254,Male,Asian,22,11/18/2022,560011,International,India,Karnataka,Data Science (MS),Started App,255
255,Female,None Listed,23,11/20/2022,572104,International,India,Karnataka,Data Science (MS),Started App,256
256,Male,Asian,25,11/20/2022,560096,International,India,Karnataka,Data Science (MS),Started App,257
257,Female,Asian,26,11/20/2022,560077,International,India,Karnataka,Data Science (MS),Started App,258
258,Male,Asian,24,11/28/2022,560102,International,India,Karnataka,Data Science (MS),Started App,259
259,Female,Asian,24,12/14/2022,560040,International,India,Karnataka,Data Science (MS),Started App,260
260,Male,Asian,23,12/25/2022,570005,International,India,Karnataka,Data Science (MS),Started App,261
